geneNcbiID,diseaseUMLSCUI
1,C0019209
1,C0036341
2,C0002395
2,C0011570
2,C5203670
2,C0027726
2,C0026769
2,C0011581
2,C2239176
2,C0030567
2,C0024121
2,C0023890
2,C0024115
2,C0600260
2,C0206669
2,C2609414
2,C0019202
2,C0009375
2,C0004606
2,C0022660
2,C1565662
9,C0005684
9,C0005695
9,C0033578
9,C0030297
9,C0008625
9,C0376358
9,C0007131
9,C0001418
9,C0028796
9,C0001973
9,C0153459
9,C0153460
9,C0153463
9,C0162820
9,C0153458
10,C0005695
10,C0033578
10,C0005684
10,C2239176
10,C0011849
10,C0004096
10,C1458155
10,C0041327
10,C0024141
10,C0023467
10,C0023418
10,C0023449
10,C0376358
10,C0030567
10,C0345967
10,C0004943
10,C0280324
10,C0024117
10,C0033860
10,C0023903
10,C0011615
10,C0007138
10,C0024115
10,C0206698
10,C0036421
10,C0030297
10,C0162820
10,C0036646
10,C0038868
10,C4277682
10,C0278752
10,C0392400
10,C1335469
10,C1332338
10,C0010054
10,C0028796
10,C0010068
10,C0153493
10,C1112530
10,C0153458
10,C0153491
10,C0024624
10,C0280725
10,C0334265
10,C0153492
10,C0153459
10,C0153463
10,C0153460
10,C0264694
10,C0013182
10,C0878587
10,C1845026
10,C0023530
10,C1510586
10,C0151744
10,C1866558
12,C0024117
12,C0033578
12,C0010674
12,C1862939
12,C0042384
12,C0085084
12,C1847493
12,C0023794
12,C0029591
12,C0022661
15,C0011581
15,C0011570
15,C1858496
15,C0005587
15,C3279991
16,C2750090
16,C0007959
16,C0031117
16,C0023520
16,C0393541
16,C4225361
16,C3711381
16,C2875300
16,C0205713
16,C1408182
16,C0427065
16,C5562044
16,C5562057
16,C0011195
16,C1408174
16,C1955934
16,C1866141
16,C0027888
16,C5680057
16,C4024613
16,C0270914
16,C0231688
16,C1849134
16,C0751036
16,C0575081
16,C0009081
16,C4021727
18,C0342708
18,C0004352
18,C0020179
18,C0002395
18,C0017168
18,C0023380
18,C0026827
18,C0033922
18,C5779964
18,C3463992
18,C0034933
18,C0393706
19,C0039292
19,C0004153
19,C0011860
19,C0342898
19,C0473527
19,C0002395
19,C0010054
19,C1704429
19,C0010068
19,C0020443
19,C2931838
19,C0151744
19,C0028754
19,C0031117
19,C5231558
19,C0009404
19,C0678222
19,C0036341
19,C0009402
19,C0020445
19,C0745103
19,C0264694
19,C0020623
19,C1843386
19,C0271183
19,C0022661
19,C0023487
19,C4024448
19,C4229399
19,C1335029
20,C1510586
20,C5394135
20,C5680181
21,C0476273
21,C5441745
21,C0006142
21,C0024115
21,C1145670
21,C0034069
21,C0034050
21,C0020542
21,C0009404
21,C1970456
21,C1968602
21,C0035229
21,C3711368
21,C2973725
21,C0376358
21,C4281993
21,C0034088
21,C2678480
21,C1855480
21,C0013990
21,C5680383
21,C5561926
21,C0085786
22,C1845028
22,C0002896
22,C0004134
23,C0020517
23,C0032285
24,C0271093
24,C0035334
